,country,driver_count,constructor_count,circuit_count
0,Argentina,25,,1
1,Australia,19,1,2
2,Austria,15,1,2
3,Azerbaijan,,,1
4,Bahrain,,,1
5,Belgium,23,1,3
6,Brazil,32,1,2
7,Canada,14,2,3
8,Chile,1,,
9,China,1,,1
10,Colombia,3,,
11,Czech Republic,1,,
12,Denmark,5,,
13,Finland,9,,
14,France,73,13,7
15,Germany,53,11,3
16,Hungary,1,,1
17,India,2,1,1
18,Indonesia,1,,
19,Ireland,5,1,
20,Italy,101,30,4
21,Japan,20,5,3
22,Korea,,,1
23,Liechtenstein,1,,
24,Malaysia,1,2,1
25,Mexico,6,1,1
26,Monaco,4,,1
27,Morocco,,,1
28,Netherlands,18,3,1
29,New Zealand,10,1,
30,Poland,1,,
31,Portugal,4,,4
32,Qatar,,,1
33,Russia,4,2,1
34,Saudi Arabia,,,1
35,Singapore,,,1
36,South Africa,23,3,2
37,Spain,15,1,6
38,Sweden,10,,1
39,Switzerland,23,5,1
40,Thailand,2,,
41,Turkey,,,1
42,UAE,,,1
43,UK,,,4
44,United Kingdom,166,86,
45,United States of America,158,39,12
46,Uruguay,4,,
47,Venezuela,3,,
48,Zimbabwe,4,1,
